ID,Latitude,Longitude,Altitude,MagX,MagY,MagZ,NetField,TimeStamp
1,Latitude,Longitude,Altitude,MagX,MagY,MagZ,NetField,TimeStamp
1790,67.5833332,25.096124,0,-41.977,-8.47,-45.875,62.756,3/12/2023 19:25
1791,67.5833332,25.096124,0,-45.95,-7.421,-44.825,64.62,3/12/2023 19:25
1792,67.5833332,25.096124,0,-46.175,-10.419,-46.325,66.232,3/12/2023 19:25
1793,67.5833332,25.096124,0,-43.026,-15.442,-44.975,64.129,3/12/2023 19:25
1794,67.5833332,25.096124,0,-47.149,-9.895,-45.275,66.112,3/12/2023 19:25
1795,67.5833332,25.096124,0,-49.173,-1.874,-46.025,67.378,3/12/2023 19:25
1796,67.5833332,25.096124,0,-46.624,-11.993,-42.502,64.219,3/12/2023 19:25
1797,67.5833332,25.096124,0,-45.5,-6.521,-42.876,62.858,3/12/2023 19:25
1798,67.5833332,25.096124,0,-45.5,-6.596,-42.277,62.459,3/12/2023 19:25
1799,67.5833332,25.096124,0,-45.65,-6.446,-44.001,63.73,3/12/2023 19:25
1800,67.5833332,25.096124,0,-47.974,-6.821,-42.652,64.553,3/12/2023 19:25
1801,67.5833332,25.096124,0,-44.75,-10.194,-45.725,64.786,3/12/2023 19:25
1802,67.5833332,25.096124,0,-44.526,-10.419,-43.626,63.201,3/12/2023 19:25
1803,67.5833332,25.096124,0,-42.951,-12.968,-42.352,61.698,3/12/2023 19:25
1804,67.5833332,25.096124,0,-37.854,-16.866,-49.098,64.25,3/12/2023 19:25
1805,67.5833332,25.096124,0,-41.077,-11.619,-45.35,62.281,3/12/2023 19:25
1806,67.5833332,25.096124,0,-46.399,-8.92,-41.302,62.756,3/12/2023 19:25
1807,67.5833332,25.096124,0,-43.176,-12.368,-43.101,62.249,3/12/2023 19:25
1808,67.5833332,25.096124,0,-45.725,-9.895,-42.352,63.106,3/12/2023 19:25
1809,67.5833332,25.096124,0,-38.079,-14.842,-47.899,62.965,3/12/2023 19:25
1810,67.5833332,25.096124,0,-35.905,-14.842,-49.023,62.552,3/12/2023 19:25
1811,67.5833332,25.096124,0,-41.752,-13.717,-47.974,65.061,3/12/2023 19:25
1812,67.5833332,25.096124,0,-44.526,-11.244,-45.425,64.594,3/12/2023 19:25
1813,67.5833332,25.096124,0,-45.95,-9.22,-44.75,64.8,3/12/2023 19:25
1814,67.5833332,25.096124,0,-46.025,-8.845,-43.626,64.029,3/12/2023 19:25
1815,67.5833332,25.096124,0,-47.299,-8.395,-43.926,65.093,3/12/2023 19:25
1816,67.5833332,25.096124,0,-46.999,-10.644,-43.401,64.853,3/12/2023 19:25
1817,67.5833332,25.096124,0,-46.774,-9.97,-43.551,64.683,3/12/2023 19:25
1818,67.5833332,25.096124,0,-51.122,-8.021,-44.301,68.12,3/12/2023 19:25
1819,67.5833332,25.096124,0,-53.446,-11.394,-45.35,71.013,3/12/2023 19:25
1820,67.5833332,25.096124,0,-48.124,-13.493,-42.202,65.413,3/12/2023 19:25
1821,67.5833332,25.096124,0,-47.974,-13.193,-39.953,63.81,3/12/2023 19:25
1822,67.5833332,25.096124,0,-44.301,-10.194,-39.878,60.471,3/12/2023 19:25
1823,67.5833332,25.096124,0,-46.325,-5.322,-37.629,59.919,3/12/2023 19:25
1824,67.5833332,25.096124,0,-50.297,-3.448,-41.227,65.126,3/12/2023 19:25
1825,67.5833332,25.096124,0,-48.049,-6.222,-39.353,62.418,3/12/2023 19:25
1826,67.5833332,25.096124,0,-47.074,-4.123,-42.876,63.807,3/12/2023 19:25
1827,67.5833332,25.096124,0,-45.275,-6.521,-42.876,62.696,3/12/2023 19:25
